,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_pre__lemmatize,param_pre__rm_stopwords,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,25.40267817179362,1.2440461574552217,12.426285107930502,1.0121873592826003,0.1,True,True,"{'clf__alpha': 0.1, 'pre__lemmatize': True, 'pre__rm_stopwords': True}",0.633681535855449,0.6310885218127912,0.6309473386982917,0.631905798788844,0.0012569579057500134,4,0.8174502329521389,0.8147808286863838,0.8137220300698808,0.8153176972361345,0.0015686608009388328
1,20.545255661010742,0.866821173041025,10.955139875411987,1.8703916066090662,0.1,True,False,"{'clf__alpha': 0.1, 'pre__lemmatize': True, 'pre__rm_stopwords': False}",0.6345285149632975,0.6326415360722858,0.6330650854157843,0.633411712150456,0.0008084078606218455,3,0.8118734999294085,0.808428036987365,0.8096280087527352,0.8099765152231696,0.0014280280789022166
2,18.99485691388448,1.1638688697916064,9.529224236806234,0.6074581327873586,0.1,False,True,"{'clf__alpha': 0.1, 'pre__lemmatize': False, 'pre__rm_stopwords': True}",0.6363636363636364,0.6337710009882818,0.6375829450797684,0.6359058608105621,0.0015895278716019827,2,0.8280389665396019,0.8245923625326463,0.8237453236394437,0.8254588842372307,0.0018568768110111284
3,9.640325625737509,0.2903699125948634,4.789078950881958,0.14848152630269992,0.1,False,False,"{'clf__alpha': 0.1, 'pre__lemmatize': False, 'pre__rm_stopwords': False}",0.6390457368718239,0.6368770295072709,0.6399830580262601,0.6386352748017851,0.0013008234887688318,1,0.8206974445856275,0.8187336768546623,0.8174631185148584,0.8189647466517161,0.0013304789166178916
4,24.860237280527752,0.5535195631365282,12.538862228393555,0.13001337928249004,1,True,True,"{'clf__alpha': 1, 'pre__lemmatize': True, 'pre__rm_stopwords': True}",0.6157538114059853,0.6230410842863193,0.6166878441338416,0.6184942466087154,0.0032376332851879793,5,0.7486940561908796,0.7426413496153031,0.7461000917625468,0.7458118325229098,0.002479399694070269
5,20.213707049687702,0.6319624927105787,9.802794774373373,0.4242805483207156,1,True,False,"{'clf__alpha': 1, 'pre__lemmatize': True, 'pre__rm_stopwords': False}",0.6126482213438735,0.6221939855993224,0.6166878441338416,0.6171766836923459,0.003912341744669055,8,0.7407172102216575,0.7350179995764805,0.7354415190230819,0.7370589096070733,0.002592581046037936
6,26.835705598195393,5.378183323541319,11.70661441485087,0.6354389731424712,1,False,True,"{'clf__alpha': 1, 'pre__lemmatize': False, 'pre__rm_stopwords': True}",0.6199887069452287,0.6196526895383312,0.615699562332345,0.6184469862719683,0.00194755926780947,6,0.75716504306085,0.7528058163337333,0.7542175478224041,0.7547294690723292,0.001816087725339941
7,12.035354773203531,0.9478611886254771,6.0796840985616045,0.7471444920647361,1,False,False,"{'clf__alpha': 1, 'pre__lemmatize': False, 'pre__rm_stopwords': False}",0.6154714850367025,0.6204997882253283,0.6169702103628406,0.6176471612082904,0.0021078670221422904,7,0.7498941126641254,0.7441942542528411,0.7444060139761417,0.7461647936310362,0.002638443465760936
8,28.31588864326477,4.752809628776218,12.527166604995728,0.8705631230784413,5,True,True,"{'clf__alpha': 5, 'pre__lemmatize': True, 'pre__rm_stopwords': True}",0.58399209486166,0.5852040096004518,0.578286036989976,0.582494047150696,0.003016366077259939,10,0.6761965268953833,0.6633726265264347,0.6645020117173713,0.668023721713063,0.0057974095444141786
9,19.68005879720052,1.089091803683468,9.946811040242514,0.3864825953826518,5,True,False,"{'clf__alpha': 5, 'pre__lemmatize': True, 'pre__rm_stopwords': False}",0.5796160361377752,0.5806861499364676,0.5747564591274884,0.5783528817339104,0.002580307159819728,12,0.6629959056896795,0.6554669301898779,0.6480553398743559,0.6555060585846378,0.0060995232050798315
10,19.33472553888957,0.9440557654523166,9.673602422078451,0.648636502226391,5,False,True,"{'clf__alpha': 5, 'pre__lemmatize': False, 'pre__rm_stopwords': True}",0.5893562958780351,0.5864746576309473,0.5853451927149513,0.5870587154079779,0.0016888022898704504,9,0.6854440208951009,0.6767840756688078,0.6744547187125008,0.6788942717588032,0.00472799367376893
11,11.388721704483032,0.4544901255973775,5.59610112508138,0.23182498930794673,5,False,False,"{'clf__alpha': 5, 'pre__lemmatize': False, 'pre__rm_stopwords': False}",0.5830039525691699,0.5802626005929691,0.5754623746999858,0.5795763092873749,0.0031168462700131515,11,0.668290272483411,0.6616079621655961,0.65730218112515,0.6624001385913857,0.004520707580424023
